phrase,value
"'eesti','välisministeerium'",ORG
"'imf',",ORG
"'roheline',",ORG
"'kommunikatsiooniministeerium',",ORG
"'rahandusministeerium',",ORG
"'eesti','rahvas','muuseum'",ORG
"'konservatiivne','rahvaerakond'",ORG
"'töötukassa',",ORG
"'raadio',",ORG
"'euroopa','kontrollikoda'",ORG
"'toiduamet',",ORG
"'justiitsministeerium',",ORG
"'majandusministeerium',",ORG
"'solaris',",ORG
"'gustav','adolf','gümnaasium'",ORG
"'skt',",ORG
"'sas',",ORG
"'evr','cargo'",ORG
"'valge','maja'",ORG
"'õhtuleht',",ORG
"'ettevõtlus','arendamine','sihtasutus'",ORG
"'briti','parlament'",ORG
"'nasa',",ORG
"'vanemuine',",ORG
"'lufthansa',",ORG
"'maks','ja','tolliamet'",ORG
"'põhja-eesti','pank'",ORG
"'tallinn','vesi'",ORG
"'ekspress','grupp'",ORG
"'oecd',",ORG
"'new','york'",ORG
"'haridusministeerium',",ORG
"'olerex',",ORG
"'em',",ORG
"'euroopa','kohus'",ORG
"'saaremaa','laevakompanii'",ORG
"'eesti','raadio'",ORG
"'eesti','kontsert'",ORG
"'eesti','kaitsepolitsei'",ORG
"'statistikaamet',",ORG
"'kuku','keskpäevatund'",ORG
"'pria',",ORG
"'ühispank',",ORG
"'viru','keemia','grupp'",ORG
"'isamaa','res','publica'",ORG
"'euroopa','ülemkogu'",ORG
"'financial','times'",ORG
"'aktuaalne','kaamera'",ORG
"'microsoft',",ORG
